,,,,,,,,,,,
,,,,,,,,,,,
UC-ID,FT-ID,Feature,Tên UC (tiếng Việt),Actor,Nền tảng,Trans.,Priority,Status,In-charge,Deadline,Notes
MODULE: Authentication & Account,,,,,,,,,,,
UC-01,,Staff Login,Đăng nhập của nhân viên,"Admin, Staff, Doctor, Researcher",Web,4,Must,ToDo,,,Mỗi role một màn hình khác nhau
UC-02,,Patient Login,Bệnh nhân đăng nhập,Patient,Mobile,4,Must,ToDo,,,
UC-03,,Verify New Device,Xác thực thiết bị mới,Patient,Mobile,4,Should,,,,
UC-04,,Reset password,Đặt lại mật khẩu,"Admin, Staff, Doctor, Researcher",Web,4,Should,ToDo,,,
UC-05,,Manage User Accounts and Roles,Quản lý tài khoản và phân quyền,Admin,Web,5,Must,ToDo,,,Admin cấp tài khoản cho bệnh nhân khi lần đầu tới khám
MODULE: Patient Portal,,,,,,,,,,,
UC-06,,View Personal Medical Record,Xem hồ sơ bệnh án cá nhân,Patient,Mobile,4,Must,ToDo,,,
UC-07,,Manage Personal Appointments,Quản lý lịch khám,Patient,Mobile,4,Must,ToDo,,,
UC-08,,View Examination Results,Xem kết quả khám,Patient,Mobile,3,Must,ToDo,,,
UC-09,,Track Daily Health Activities,"Theo dõi sức khỏe hằng ngày (cho phép bệnh nhân ghi bữa ăn, ghi tập luyện)",Patient,Mobile,3,Should,ToDo,,,
UC-10,,Receive Notification,Nhận thông báo,Patient,Mobile,2,Must,ToDo,,,
UC-11,,Track Personal Treatment,Theo dõi điều trị,Patient,Mobile,3,Should,ToDo,,,
UC-12,,Send Service Feedback,Gửi phản hồi,Patient,Mobile,2,Should,ToDo,,,
UC-13,,View Health Articles,Xem bài viết sức khỏe,All roles,Cả 2,2,Could,ToDo,,,
UC-14,,Take Medicine Schedule,Theo dõi lịch uống thuốc,Patient,Mobile,3,Must,ToDo,,,
MODULE: Clinical Management,,,,,,,,,,,
UC-15,,View Patient Medical Record,Xem hồ sơ bệnh nhân,"Doctor, Staff",Web,4,Must,ToDo,,,
UC-16,,Manage Examination Record,Quản lý hồ sơ khám,Doctor,Web,5,Must,ToDo,,,
UC-17,,Manage Doctor Work Schedules,Staff điều phối lịch khám của bệnh viện,Staff,Web,5,,,,,
UC-18,,Manage Doctor Work Schedule,Bác sĩ quản lí lịch khám bản thân,Doctor,Web,5,,,,,
UC-19,,Monitor Patient Disease Progression,Theo dõi diễn biến bệnh ,Doctor,Web,4,Should,ToDo,,,
MODULE: AI Research & Dataset,,,,,,,,,,,
UC-20,,Manage Research Data Access,Quản lý quyền truy cập dữ liệu,Admin,Web,4,Must,ToDo,,,
UC-21,,Manage AI / Tech,Quản lý AI / Công nghệ,Admin,Web,4,Must,ToDo,,,
UC-22,,Manage Research Project,Quản lý dự án nghiên cứu,Researcher,Web,4,Must,ToDo,,,
UC-23,,Create and Manage Research Dataset,Tạo và quản lý bộ dữ liệu nghiên cứu,Researcher,Web,5,Must,ToDo,,,
UC-24,,Training AI,Chỉnh cấu hình huấn luyện AI và train,Researcher,Web,6,Must,ToDo,,,Lưu nhiều kết quả train AI
UC-25,,AI Image Analysis,Phân tích ảnh bằng AI,Researcher,Web,3,Should,ToDo,,,
UC-26,,Review and Document Research Results,Đánh giá và ghi nhận kết quả nghiên cứu,Researcher,Web,5,Should,ToDo,,,
MODULE: Content & Feedback,,,,,,,,,,,
UC-27,,Receive and Response Feedback,Tiếp nhận và phản hồi,Staff,Web,2,Should,ToDo,,,
UC-28,,Create and Manage Content on Medical News,Tạo và quản lý tin tức y tế,"Doctor, Staff",Web,3,Could,ToDo,,,
